region;state;theme;ODS;confidence
NORDESTE;ALAGOAS;"Educação Básica;";vida terrestre;15
NORDESTE;ALAGOAS;"Comunicação do conhecimento gerado na Academia;";fome zero e agricultura sustentável;15
NORDESTE;ALAGOAS;"Extensão universitária e inserção social;";vida na água;15
NORDESTE;ALAGOAS;"Energias renováveis: solar, gás natural, etanol de 2ª e 3ª geração;";vida na água;11
NORDESTE;ALAGOAS;"Empreendedorismo e transferência de tecnologias com ênfase no 3º setor;";vida terrestre;13
NORDESTE;ALAGOAS;"Tecnologia para a indústria 4.0 e Manufatura 5.0 focando em setores – como química-plástico, açúcar-álcool, petróleo-gás e construção civil – com capacidade para solucionar problemas como o desastre do Pinheiro, por exemplo, respeitando princípios de Governança Ambiental, Social e Corporativa (Environmental, Social and Governance – ESG);";igualdade de gênero;8
NORDESTE;ALAGOAS;Planejamento governamental e políticas públicas.;vida terrestre;20
NORDESTE;BAHIA;"Biotecnologia: pesquisa aplicada e geração de renda;";paz, justiça e instituições eficazes;14
NORDESTE;BAHIA;"Inovação e tecnologia na saúde e agricultura (bioprodutos);";fome zero e agricultura sustentável;10
NORDESTE;BAHIA;"Qualidade de vida da população negra (Povos Originários e Povos de Comunidades Tradicionais): saúde, doença, infecções, política de drogas, aborto e segurança pública;";ação contra a mudança global do clima;11
NORDESTE;BAHIA;"Ações afirmativas, acesso e permanência da população negra (Povos Originários e Povos de Comunidades Tradicionais) na Educação;";ação contra a mudança global do clima;19
NORDESTE;BAHIA;"Objetivos de Desenvolvimento Sustentável (ODS), da Organização das Nações Unidas (ONU) nº 3 - Saúde Pública: saúde digital (telemedicina), saúde mental, saúde dos povos e comunidades tradicionais, saúde da população negra;";vida na água;11
NORDESTE;BAHIA;"ODS nº 4 - Formação Profissional: educação em todas as modalidades de ensino; saúde em todos os níveis de atenção e assistência; gestão pública;";vida na água;22
NORDESTE;BAHIA;"ODS nº 5 e 10 - Pautas indenitárias: gênero e sexualidade, povos e comunidades tradicionais, meninas e mulheres na ciência;";vida na água;14
NORDESTE;BAHIA;"ODS nº 7 - Energias renováveis: proteção à agricultura familiar; economia verde; equidade entre as matrizes energéticas;";igualdade de gênero;10
NORDESTE;BAHIA;"ODS nº 12 - Inclusão Socioprodutiva: agricultura familiar, economia circular (reciclagens, trabalhadores autônomos urbanos), tecnologias sociais, economia popular, economia criativa;";igualdade de gênero;10
NORDESTE;BAHIA;"ODS nº 16 - Segurança Pública, considerando: colapso e cidade; redução de violências; internacional e nacional; qualificação dos profissionais dos serviços de segurança pública; percepção de segurança, paz e justiça; segurança alimentar; juventude negra; população carcerária; defesa aeroespacial;";vida na água;13
NORDESTE;BAHIA;"Redução das desigualdades sociais, de gênero, racial e geracional;";vida terrestre;14
NORDESTE;BAHIA;"Segurança alimentar e nutricional;";fome zero e agricultura sustentável;15
NORDESTE;BAHIA;"Meio ambiente, desertificação e agricultura regenerativa;";igualdade de gênero;11
NORDESTE;BAHIA;"Tecnologias para energias limpas e acessíveis;";vida na água;14
NORDESTE;BAHIA;"Educação de qualidade e com equidade;";vida terrestre;14
NORDESTE;BAHIA;"Inovação pedagógica;";fome zero e agricultura sustentável;17
NORDESTE;BAHIA;"Governança Ambiental, Social e Corporativa (Environmental, Social and Governance – ESG);";ação contra a mudança global do clima;11
NORDESTE;BAHIA;"Governança territorial com instrumentos de gestão pública e social;";fome zero e agricultura sustentável;11
NORDESTE;BAHIA;"Indústrias e cidades inteligentes, sustentáveis e resilientes;";paz, justiça e instituições eficazes;10
NORDESTE;BAHIA;"Transformação digital utilizando conectividade, ciência de dados e inteligência artificial para inclusão social;";fome zero e agricultura sustentável;11
